tur,adi,adres,mahalle,ilce
BELMEK - BELTEK,BELMEK ,Şehit CevdetÖzdemir Mah.,ŞEHİT CEVDET ÖZDEMİR,ÇANKAYA
BELMEK - BELTEK,BELMEK ,İsmetpaşa Mah.,İSMETPAŞA,ELMADAĞ
BELMEK - BELTEK,BELMEK ,İncirli Mah.,İNCİRLİ,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Yukarı Ayrancı Mah.,AYRANCI,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Hacı Bayram Mah.,HACI BAYRAM,ALTINDAĞ
BELMEK - BELTEK,BELMEK ,Emrah Mah.,ESERTEPE,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Fidanlık Mah.,FİDANLIK,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Fatih Mah.,FATİH,PURSAKLAR
BELMEK - BELTEK,BELMEK ,Eymir Mah.,EYMİR,GÖLBAŞI
BELMEK - BELTEK,BELMEK ,Konutkent Mah.,KONUTKENT,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Sancak Mah.,BİRLİK,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Ege Mah.,DURALİ ALIÇ,MAMAK
BELMEK - BELTEK,BELMEK ,Dodurga Mah.,DODURGA,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Çiğdem Mah.,KIRKKONAKLAR,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Çaldıran Mah.,ÇALDIRAN,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Cevizlidere Mah.,CEVİZLİDERE,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Ayrancı Mah.,AYRANCI,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Atatürk Mah.,ATATÜRK,SİNCAN
BELMEK - BELTEK,BELMEK ,Atakent Mah.,ATAKENT,ETİMESGUT
BELMEK - BELTEK,BELMEK ,Atakent Mah.,ATAKENT,ETİMESGUT
BELMEK - BELTEK,BELMEK ,Aşık Veysel Mah.,AŞIK VEYSEL,MAMAK
BELMEK - BELTEK,BELMEK ,Aşağı Yahyalar Mah.,AŞAĞI YAHYALAR,YENİMAHALLE
BELMEK - BELTEK,BELMEK ,Koru Mah.,KORU,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Akşemsettin Mah.,AKŞEMSETTİN,SİNCAN
BELMEK - BELTEK,BELMEK ,Akçay Mah.,AKÇAY,KIZILCAHAMAM
BELMEK - BELTEK,BELMEK ,Yukarı Bahçelievler Mah.,YUKARI BAHÇELİEVLER,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Eryaman Mah.,ŞEYH ŞAMİL,ETİMESGUT
BELMEK - BELTEK,BELMEK ,19 Mayıs Mah.,19 MAYIS,KEÇİÖREN
BELMEK - BELTEK,BELMEK ,Mutlukent Mah.,MUTLUKENT,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Yukarı Bahçelievler Mah.,YUKARI BAHÇELİEVLER,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Merkez Mah.,MERKEZ,PURSAKLAR
BELMEK - BELTEK,BELMEK ,Akdere Mah.,AKDERE,MAMAK
BELMEK - BELTEK,BELMEK ,Balgat Mah.,BALGAT,ÇANKAYA
BELMEK - BELTEK,BELMEK ,Naci Çakır Mah.,NACİ ÇAKIR,ÇANKAYA
ÇOCUK KULÜPLERİ,AKTEPE ÇOCUK KULÜBÜ,KÖŞK,KÖŞK,KEÇİÖREN
KADINLAR LOKALLERİ,ALTINDAĞ KADINLAR LOKALİ,ZİRAAT,ÖRNEK,ALTINDAĞ
KADINLAR LOKALLERİ,BATIKENT KADINLAR LOKALİ,UĞURMUMCU,UĞUR MUMCU,YENİMAHALLE
KADINLAR LOKALLERİ,ÇUBUK KADINLAR LOKALİ,YAVUZ SELİM,YAVUZSELİM,ÇUBUK
GİYSİ YIKAMA MERKEZLERİ,BEŞEVLER GİYSİ YIKAMA MERKEZİ,BAHÇELİEVLER MAH.,BAHÇELİEVLER,ÇANKAYA
TEKNOLOJİ MERKEZLERİ,ANKARA BÜYÜKŞEHİR BELEDİYESİ TECHBRİDGE KUZEY YILDIZI,"ETAP REKREASYON ALANI, YEŞILTEPE MAHALLESI GÜNEBAKAN SOKAK 2, KÜME EVLERI NO:5, 06010 KEÇIÖREN/ANKARA",YEŞİLTEPE,KEÇİÖREN
TEKNOLOJİ MERKEZLERİ,ANKARA TEKNOLOJİ KÖPRÜSÜ,"AYRANCI, ŞAIR NAZIM SK., 06540 ÇANKAYA/ANKARA",İLKADIM,ÇANKAYA
TEKNOLOJİ MERKEZLERİ,BİRLİK MAHALLESİ DİJİTAL AKADEMİ MERKEZİ,414. CADDE BİRLİK MAHALLESİ NO: 16 ÇANKAYA/ANKARA,BİRLİK,ÇANKAYA
KADINLAR LOKALLERİ,DİKMEN KADINLAR LOKALİ,DİKMEN,İLKADIM,ÇANKAYA
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,OSMANLI AİLE YAŞAM MERKEZİ,ADNAN YÜKSEL CAD.NO:2,ETLİK,KEÇİÖREN
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,ELVANKENT AİLE YAŞAM MERKEZİ,ATAKENT MAH.BANKA BLOKLARI ,ATAKENT,ETİMESGUT
AİLE YAŞAM ve GENÇLİK MERKEZLERİ,ALTINDAĞ GENÇLİK MERKEZİ,ALTINDAĞ CAD. NO:31,ZÜBEYDE HANIM,ALTINDAĞ
ÇOCUK KULÜPLERİ,ALTINDAĞ ÇOCUK KULÜBÜ,FAZİLET,ÖRNEK,ALTINDAĞ
BELMEK - BELTEK,BELTEK ,Emniyet Mah.,EMNİYET,YENİMAHALLE
BELMEK - BELTEK,BELTEK ,Ostim Mah.,OSTİM OSB,YENİMAHALLE
GÜNDÜZ BAKIM EVLERİ,BATIKENT GÜNDÜZ BAKIMEVİ,İLK YERLEŞİM MAH.,İLKYERLEŞİM,YENİMAHALLE
GÜNDÜZ BAKIM EVLERİ,KUŞCAĞIZ  GÜNDÜZ BAKIMEVİ,KUŞCAĞIZ MAH.,KUŞCAĞIZ,KEÇİÖREN
GİYSİ YIKAMA MERKEZLERİ,OSMANLI GİYSİ YIKAMA MERKEZİ,ETLİK MAH.,AŞAĞI EĞLENCE,KEÇİÖREN
